"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45627","Email Verification: Verify reset password link sent to dynamic email","Driver Monitoring System In Chrome","Thu May 15 16:21:25 WIB 2025","passed","Thu May 15 16:22:11 WIB 2025","[Email Verification] Forgot Password Email Tests","","",""
"","17466","Positive: Successfully displays camera list by Category","Driver Monitoring System In Chrome","Thu May 15 15:22:17 WIB 2025","passed","Thu May 15 15:22:34 WIB 2025","Driver Monitoring - Show with List Camera","","",""
"","4674","Password Recovery: Invalid email format displays validation message","Driver Monitoring System In Chrome","Thu May 15 16:21:16 WIB 2025","passed","Thu May 15 16:21:20 WIB 2025","[Forgot Password Feature] Password Recovery Tests > Forgot Password Email Tests","","",""
"","21243","Negative: Show empty message when no camera/device found with combined filter.","Driver Monitoring System In Chrome","Thu May 15 15:23:12 WIB 2025","passed","Thu May 15 15:23:33 WIB 2025","Driver Monitoring - Show with List Camera","","",""
"","19853","Positive: Successfully displays camera list by Device","Driver Monitoring System In Chrome","Thu May 15 16:20:08 WIB 2025","passed","Thu May 15 16:20:28 WIB 2025","[Driver Monitoring] - List Camera - Using All Filter","","",""
"","4516","Navigation: Back to Login link redirects to login page","Driver Monitoring System In Chrome","Thu May 15 16:21:20 WIB 2025","passed","Thu May 15 16:21:25 WIB 2025","[Forgot Password Feature] Password Recovery Tests","","",""
"","54959","Login Authentication: Empty username displays validation message","Driver Monitoring System In Chrome","Thu May 15 16:23:25 WIB 2025","passed","Thu May 15 16:24:20 WIB 2025","[Login Feature] Login Authentication Tests > Login Credentials Tests","","",""
"","16088","Positive: Successfully displays camera list with All Filter","Driver Monitoring System In Chrome","Thu May 15 15:22:01 WIB 2025","passed","Thu May 15 15:22:17 WIB 2025","Driver Monitoring - Show with List Camera","","",""
"","16583","Email Verification: Verify no email sent for unregistered address","Driver Monitoring System In Chrome","Thu May 15 16:22:11 WIB 2025","passed","Thu May 15 16:22:27 WIB 2025","[Email Verification] Forgot Password Email Tests","","",""
"","17022","Positive: Successfully displays camera list by Camera Type","Driver Monitoring System In Chrome","Thu May 15 16:20:28 WIB 2025","passed","Thu May 15 16:20:45 WIB 2025","[Driver Monitoring] - List Camera - Using All Filter","","",""
"","29832","Login Authentication: Invalid username displays error message","Driver Monitoring System In Chrome","Thu May 15 16:22:55 WIB 2025","passed","Thu May 15 16:23:25 WIB 2025","[Login Feature] Login Authentication Tests > Login Credentials Tests","","",""
"","5386","Password Recovery: Invalid email displays error message","Driver Monitoring System In Chrome","Thu May 15 16:21:06 WIB 2025","passed","Thu May 15 16:21:11 WIB 2025","[Forgot Password Feature] Password Recovery Tests > Forgot Password Email Tests","","",""
"","27848","Login Authentication: Valid Superadmin successfully redirects to dashboard","Driver Monitoring System In Chrome","Thu May 15 16:22:27 WIB 2025","passed","Thu May 15 16:22:55 WIB 2025","[Login Feature] Login Authentication Tests > Login Credentials Tests","","",""
"","4658","Password Recovery: Empty email field displays validation message","Driver Monitoring System In Chrome","Thu May 15 16:21:11 WIB 2025","passed","Thu May 15 16:21:16 WIB 2025","[Forgot Password Feature] Password Recovery Tests > Forgot Password Email Tests","","",""
"","19248","Positive: Successfully displays camera list by Camera Type","Driver Monitoring System In Chrome","Thu May 15 15:22:53 WIB 2025","passed","Thu May 15 15:23:12 WIB 2025","Driver Monitoring - Show with List Camera","","",""
"","18245","Positive: Successfully displays camera list by Device","Driver Monitoring System In Chrome","Thu May 15 15:22:34 WIB 2025","passed","Thu May 15 15:22:53 WIB 2025","Driver Monitoring - Show with List Camera","","",""
"","17687","Positive: Successfully displays camera list by Category","Driver Monitoring System In Chrome","Thu May 15 16:19:51 WIB 2025","passed","Thu May 15 16:20:08 WIB 2025","[Driver Monitoring] - List Camera - Using All Filter","","",""
"","33146","Login Authentication: Invalid username and password displays error","Driver Monitoring System In Chrome","Thu May 15 16:25:09 WIB 2025","passed","Thu May 15 16:25:42 WIB 2025","[Login Feature] Login Authentication Tests > Login Credentials Tests","","",""
"","23612","Login Authentication: Correct username with wrong password displays error","Driver Monitoring System In Chrome","Thu May 15 16:24:45 WIB 2025","passed","Thu May 15 16:25:09 WIB 2025","[Login Feature] Login Authentication Tests > Login Credentials Tests","","",""
"","19305","Positive: Successfully displays camera list with All Filter","Driver Monitoring System In Chrome","Thu May 15 16:19:31 WIB 2025","passed","Thu May 15 16:19:51 WIB 2025","[Driver Monitoring] - List Camera - Using All Filter","","",""
"","25365","Login Authentication: Empty password displays validation message","Driver Monitoring System In Chrome","Thu May 15 16:24:20 WIB 2025","passed","Thu May 15 16:24:45 WIB 2025","[Login Feature] Login Authentication Tests > Login Credentials Tests","","",""
"","20352","Negative: Show empty message when no camera/device found with combined filter.","Driver Monitoring System In Chrome","Thu May 15 16:20:45 WIB 2025","passed","Thu May 15 16:21:05 WIB 2025","[Driver Monitoring] - List Camera - Using All Filter","","",""
